job_id,job_title,company_name,company_state,salary_range,remote_ratio,employment_type,experience_level,company_size,image_link,employees,salary,original_title,L,M,S
3773408834,4,Ecclesiastes Inc,DE,,0,3,2,M,https://media.licdn.com/dms/image/C4E0BAQFwJWZdFKZyDQ/company-logo_100_100/0/1645796891873?e=1709164800&v=beta&t=LoK3I1SkFMNhhtSeTLHWDzjfSw3L0gP-CnMvCE2kZUA,De 11 a 50 empleados,,Data Analyst,0.0,1.0,0.0
3774489128,4,City of Corona,CA,,0,3,2,L,https://media.licdn.com/dms/image/D560BAQFgrl2na_carg/company-logo_100_100/0/1692914845492/city_of_corona_logo?e=1709769600&v=beta&t=8qGP-iiyD0vbVwLZLwKXNEdGhhakHwETG_1QJLYjX8c,De 501 a 1.000 empleados,,Junior Data Analyst (Part-time),1.0,0.0,0.0
3775534052,4,TELUS International,TN,,100,3,2,L,https://media.licdn.com/dms/image/D560BAQEY8s22W6Uvng/company-logo_100_100/0/1688530598537/telus_international_logo?e=1709164800&v=beta&t=pGk9enMI4ARakdKRAsw-rZgnW37RcuCAvjRBiSFPFqc,Más de 10.001 empleados,,Online Data Analyst,1.0,0.0,0.0
3775544447,6,TechStar Group,WA,,100,3,2,L,https://media.licdn.com/dms/image/C4E0BAQFB2e0c3baQvQ/company-logo_100_100/0/1630631364709/techstargroup_logo?e=1709769600&v=beta&t=8M74lqT2qaNL1YPJB-hT72mCqdrpDe57Q51ECmKzJyE,De 501 a 1.000 empleados,,Senior Data Scientist,1.0,0.0,0.0
3775558041,4,Fountain,USA,,100,3,2,L,https://media.licdn.com/dms/image/D4E0BAQHgAFV1CQZL6A/company-logo_100_100/0/1690304444541/fountaininc_logo?e=1709164800&v=beta&t=5aOm77y0rHvnXYylMEak0c55x_Dc-mHXKrZj4ZE-20k,De 201 a 500 empleados,,Data Analyst - Contract,1.0,0.0,0.0
3775569518,4,MISUMI,IL,,100,3,2,L,https://media.licdn.com/dms/image/D560BAQEoVvdHW2XQlA/company-logo_100_100/0/1665518303438/misumi_logo?e=1709164800&v=beta&t=Iuep2q1m8F-N9_63rZ0XaDUJMFml0p4DQYznOUMGzQE,De 1.001 a 5.000 empleados,,Operations Data Analyst / Onsite,1.0,0.0,0.0
3775633946,6,HustleWing - Side hustles for professionals,USA,,100,3,4,S,https://media.licdn.com/dms/image/D560BAQH7LlrOk8dY5g/company-logo_100_100/0/1688132776463/hustlewing_logo?e=1709164800&v=beta&t=AvKhgElfAWBtskdPoMVwZX72pJ1AsoB5ZfBGHq8pNOE,Entre 1 y 10 empleados,,Data Scientist,0.0,0.0,1.0
3775644206,4,Suffolk Construction,MA,,100,3,4,L,https://media.licdn.com/dms/image/D4E0BAQHZIbANlnVZJw/company-logo_100_100/0/1697034811445/suffolk_construction_logo?e=1709769600&v=beta&t=XCHjQHw8ge2nYEglaZ5tYl0Dty0AUlKTbfE72BbgsTM,De 1.001 a 5.000 empleados,,Data Analyst,1.0,0.0,0.0
3775646864,5,Avenue Code,USA,,100,3,4,L,https://media.licdn.com/dms/image/C4D0BAQEyu7Kf9t9jCg/company-logo_100_100/0/1672326321638/avenuecode_logo?e=1709164800&v=beta&t=jv5E08V4ZOuUfV2IGApMScRCzRdQW-nWJT_U3jXVFT8,De 1.001 a 5.000 empleados,,Data Engineer,1.0,0.0,0.0
3775680912,5,goop,CA,,100,3,4,L,https://media.licdn.com/dms/image/D560BAQEuXX5sW7EgDA/company-logo_100_100/0/1667506305560/goop__logo?e=1709769600&v=beta&t=Oux-O8qu5Wy5Q_oxe6J1y_1g5tPtqOkC8K_9Qk6uS_Q,De 201 a 500 empleados,,Junior Data Engineer,1.0,0.0,0.0
