job_id,job_title,company_name,company_state,remote_ratio,employment_type,experience_level,company_size,image_link,employees,company_services,salary,min,max,original_title
3550514419,Senior Data Scientist,TikTok,WA,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,227788.5,158755.0,296822.0,"Senior Data Scientist, E-commerce Risk/Fraud - USDS"
3550960182,Senior Data Engineer,Spotter,CA,Hybrid,Full-time,Mid-Senior level,M,https://media.licdn.com/dms/image/C560BAQEYvkAOOIHdxg/company-logo_100_100/0/1633534958573/spotter_inc_logo?e=1712188800&v=beta&t=zerAvSor0uPeyPLwO7Dxb2n_BziJCh5YyqUcQjzWL_w,51-200 employees,Online Audio and Video Media,300000.0,100000.0,500000.0,Senior Data Engineer
3557823264,Data Architect,Crown Audio,VA,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQEwlZCs-AjNVw/company-logo_100_100/0/1697816223311/crown_international_logo?e=1712188800&v=beta&t=zEBlIE7CBBOz1KVZJExpph11YZ-Rfxu1lss74IhTfio,201-500 employees,"Appliances, Electrical, and Electronics Manufacturing",,,,Data Architect (Maintenance)
3561647887,Senior Data Analyst,TikTok,CA,,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C510BAQGCdThXIss7UQ/company-logo_100_100/0/1630606162248/tiktok_logo?e=1712188800&v=beta&t=TnKOeulgrxOnJlI9SSXh4fTDEGqREutfoACQXiEx7ZU,"10,001+ employees",Entertainment Providers,200066.5,130133.0,270000.0,"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS"
3563806848,Senior Data Architect,University of Southern California,CA,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQHatTfEv4Af6w/company-logo_100_100/0/1631312619853?e=1712188800&v=beta&t=k9Y53wxn7O_4EGMt8rxXvYTyxdRLcO_g4tmy9LUMTNs,"10,001+ employees",Higher Education,155000.0,140000.0,170000.0,Senior Data Architect
3573942176,Business Analyst,Energy Transfer,TX,On-site,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C560BAQHigiBFhAjfmg/company-logo_100_100/0/1641307920216/energy_transfer_logo?e=1712188800&v=beta&t=DSPFH6odfj1uf2itokcxKLlD0w2_oI8QoovyBlrJHEE,"10,001+ employees",Oil and Gas,,,,Business Analyst - SAP FICO
3575057109,Python Developer,Open Systems Technologies,FL,Hybrid,Full-time,Entry level,L,https://media.licdn.com/dms/image/C4D0BAQHdzu0CEs024A/company-logo_100_100/0/1630574799930/open_systems_technologies_logo?e=1712188800&v=beta&t=1FsB7EK1PKR21RjQnoMgfwpceCu8dw9HaOYIK-Jm5VA,201-500 employees,Staffing and Recruiting,,,,Python Developer
3575086504,Senior Deep Learning Engineer,Kodiak,CA,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/D560BAQHE2FF9OdBnRA/company-logo_100_100/0/1689098776046/kodiakrobotics_logo?e=1712188800&v=beta&t=7S9W6dSIUxji5WD845zvehHp-jil5gyu0cOMYi4o4rc,201-500 employees,Software Development,225000.0,175000.0,275000.0,"Senior Software Engineer, Deep Learning for Computer Vision"
3575088451,Senior Deep Learning Engineer,Mashgin,CA,Hybrid,Full-time,Mid-Senior level,M,https://media.licdn.com/dms/image/C560BAQFQbFDshlGCow/company-logo_100_100/0/1630667992888/mashgin_logo?e=1712188800&v=beta&t=MwguQI9T9NvImTGMkTLAwAJ_hM533NcoJmWM4SUqXRM,51-200 employees,Software Development,500000.0,,,"Senior Software Engineer, Computer Vision and Deep Learning"
3577490891,Machine Learning Engineer,Roblox,CA,Hybrid,Full-time,Mid-Senior level,L,https://media.licdn.com/dms/image/C4E0BAQHcBSrlw3MI3g/company-logo_100_100/0/1661789836195/roblox_logo?e=1712188800&v=beta&t=lNbBtk1S52d_PRMUL3QFO5zGaRvQOTmM9_wZm9Jm8aU,"1,001-5,000 employees",Software Development,307710.0,283780.0,331640.0,Principal Machine Learning Engineer - Personalization
