job_id,job_title,company_name,company_state,salary_range,remote_ratio,employment_type,experience_level,company_size,image_link
3620841954,Senior Data Scientist,Coinbase,"· Seattle, WA",,Presencial,Prácticas,Prácticas,De 1.001 a 5.000 empleados · Publicaciones en línea,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0
3620842820,Senior Data Scientist,Coinbase,"· Atlanta, GA",,Presencial,Prácticas,Prácticas,De 1.001 a 5.000 empleados · Publicaciones en línea,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0
3620842822,Senior Data Scientist,Coinbase,"· Phoenix, AZ",,Presencial,Prácticas,Prácticas,De 1.001 a 5.000 empleados · Publicaciones en línea,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0
3620844447,Senior Data Scientist,Coinbase,"· Salt Lake City, UT",,Presencial,Prácticas,Prácticas,De 1.001 a 5.000 empleados · Publicaciones en línea,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0
3620846078,Senior Data Scientist,Coinbase,"· Portland, OR",,Presencial,Prácticas,Prácticas,De 1.001 a 5.000 empleados · Publicaciones en línea,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0
3620848002,Senior Data Scientist,Coinbase,"· Chicago, IL",,Presencial,Prácticas,Prácticas,De 1.001 a 5.000 empleados · Publicaciones en línea,https://media.licdn.com/dms/image/C560BAQHsPlWyC0Ksxg/company-logo_100_100/0/1630669856291/coinbase_logo?e=1709769600&v=beta&t=JIE5ibIVc4TfBx2KwDIdWHrY5wsBRlvvHTeOMdsAzu0
3625991319,Deep Learning Data Scientist (Research),Overview,"· San Francisco, CA",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 11 a 50 empleados · Automación industrial,https://media.licdn.com/dms/image/D560BAQHciEJIDlxmDA/company-logo_100_100/0/1694818126733/overview_ai_logo?e=1709769600&v=beta&t=l-wITGvWFioaLLDJ7CDJr3y9TC-3ibPLY5PMuSbe32M
3628863888,Machine Learning Engineer,AeroVironment,"· Virginia, Estados Unidos",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 1.001 a 5.000 empleados · Fabricación de productos de defensa y espacio,https://media.licdn.com/dms/image/C4E0BAQHnQv2-PJte-Q/company-logo_100_100/0/1675970329208/aerovironment_logo?e=1709769600&v=beta&t=AqWgXu-92dQHNAxSeMVdaiCTT5A1Bc0YVFvNbugdA3E
3628866409,Machine Learning Engineer,AeroVironment,"· Minnesota, Estados Unidos",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 1.001 a 5.000 empleados · Fabricación de productos de defensa y espacio,https://media.licdn.com/dms/image/C4E0BAQHnQv2-PJte-Q/company-logo_100_100/0/1675970329208/aerovironment_logo?e=1709769600&v=beta&t=AqWgXu-92dQHNAxSeMVdaiCTT5A1Bc0YVFvNbugdA3E
3635061497,"Machine Learning Research Engineer, Generative AI",Scale AI,"· San Francisco, CA",65.000 $/año - 185.000 $/año,Presencial,Jornada completa,Sin experiencia,De 501 a 1.000 empleados · Desarrollo de software,https://media.licdn.com/dms/image/C4D0BAQFUABvcOwaFGg/company-logo_100_100/0/1630493502009/scaleai_logo?e=1709769600&v=beta&t=UQaoMacMYZysa91eJFSSHK5nJu6hfckIG3IOfR05wys
